VALUE,EVT_Name,LFRDB,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue
7148,Western Great Plains Sand Prairie,7148,2148,He Western Great Plains Sand Prairie,Herb,647,Grassland,Sand Prairie,SRM 720: Sand Bluestem -Little Bluestem Dunes,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,148,71,1.00000000000,0.58039200000,0.27843100000
7149,Western Great Plains Shortgrass Prairie,7149,2149,He Western Great Plains Shortgrass Prairie,Herb,648,Grassland,Shortgrass Prairie,SRM 611: Blue Grama-Buffalograss,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,142,66,1.00000000000,0.55686300000,0.25882400000
7150,Western Great Plains Tallgrass Prairie,7150,2150,He Western Great Plains Tallgrass Prairie,Herb,649,Grassland,Tallgrass Prairie,SRM 601: Bluestem Prairie,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,137,64,1.00000000000,0.53725500000,0.25098000000
7152,California Central Valley Riparian Shrubland,7151,2151,Tr California Central Valley Riparian Woodland and Shrubland,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy,81,180,141,0.31764700000,0.70588200000,0.55294100000
7151,California Central Valley Riparian Woodland,7151,2151,Tr California Central Valley Riparian Woodland and Shrubland,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy,81,180,141,0.31764700000,0.70588200000,0.55294100000
9629,Mediterranean California Foothill and Lower Montane Riparian Shrubland,9129,2152,Tr California Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,81,180,141,0.31764700000,0.70588200000,0.55294100000
9129,Mediterranean California Foothill and Lower Montane Riparian Woodland,9129,2152,Tr California Montane Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,81,180,141,0.31764700000,0.70588200000,0.55294100000
9633,Mediterranean California Serpentine Foothill and Lower Montane Riparian Shrubland and Seep,9133,2152,Tr California Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,81,180,141,0.31764700000,0.70588200000,0.55294100000
9133,Mediterranean California Serpentine Foothill and Lower Montane Riparian Woodland and Seep,9133,2152,Tr California Montane Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,81,180,141,0.31764700000,0.70588200000,0.55294100000
7153,Inter-Mountain Basins Greasewood Flat,7153,2153,Sh Inter-Mountain Basins Greasewood Flat,Shrub,619,Shrubland,Greasewood Shrubland,SRM 501: Saltbush-Greasewood,Shrub-dominated,Shrubland,Evergreen shrubland,194,170,126,0.76078400000,0.66666700000,0.49411800000
