VALUE,CLASSNAMES,R,G,B,red,green,blue
201,Shrub Height = 0.1 meter,212,178,125,0.83137254900,0.69803921600,0.49019607800
202,Shrub Height = 0.2 meter,212,174,121,0.83137254900,0.69019607800,0.48235294100
203,Shrub Height = 0.3 meter,209,166,117,0.83137254900,0.68627451000,0.48235294100
204,Shrub Height = 0.4 meter,209,161,113,0.83137254900,0.68235294100,0.47450980400
205,Shrub Height = 0.5 meter,207,155,109,0.81960784300,0.66666666700,0.46666666700
206,Shrub Height = 0.6 meter,207,149,105,0.81960784300,0.65882352900,0.45882352900
207,Shrub Height = 0.7 meter,204,145,102,0.81960784300,0.65098039200,0.45882352900
208,Shrub Height = 0.8 meter,201,137,97,0.81960784300,0.64705882400,0.45098039200
209,Shrub Height = 0.9 meter,201,134,95,0.81960784300,0.64313725500,0.45098039200
210,Shrub Height = 1 meter,199,126,90,0.81960784300,0.63137254900,0.44313725500
211,Shrub Height = 1.1 meters,196,121,86,0.81176470600,0.62352941200,0.43921568600
212,Shrub Height = 1.2 meters,196,115,82,0.81176470600,0.61176470600,0.42745098000
213,Shrub Height = 1.3 meters,194,110,79,0.81176470600,0.60784313700,0.42745098000
214,Shrub Height = 1.4 meters,191,105,77,0.81176470600,0.60392156900,0.41960784300
215,Shrub Height = 1.5 meters,191,100,73,0.81176470600,0.59607843100,0.41960784300
216,Shrub Height = 1.6 meters,189,94,70,0.81176470600,0.59215686300,0.41176470600
217,Shrub Height = 1.7 meters,186,89,67,0.80000000000,0.57647058800,0.40784313700
218,Shrub Height = 1.8 meters,184,83,62,0.80000000000,0.57254902000,0.40000000000
219,Shrub Height = 1.9 meters,184,79,61,0.80000000000,0.56862745100,0.40000000000
220,Shrub Height = 2.0 meters,181,72,58,0.80000000000,0.55686274500,0.39215686300
221,Shrub Height = 2.1 meters,179,68,55,0.80000000000,0.55686274500,0.39215686300
222,Shrub Height = 2.2 meters,176,61,51,0.78823529400,0.53725490200,0.38039215700
223,Shrub Height = 2.3 meters,173,57,49,0.78823529400,0.53725490200,0.38039215700
224,Shrub Height = 2.4 meters,173,51,47,0.78823529400,0.52549019600,0.37254902000
225,Shrub Height = 2.5 meters,171,47,44,0.78823529400,0.52549019600,0.37254902000
226,Shrub Height = 2.6 meters,168,39,41,0.78823529400,0.51764705900,0.37254902000
227,Shrub Height = 2.7 meters,166,33,40,0.78039215700,0.50588235300,0.35686274500
228,Shrub Height = 2.8 meters,163,26,38,0.78039215700,0.49803921600,0.35686274500
229,Shrub Height = 2.9 meters,161,18,34,0.78039215700,0.49411764700,0.35294117600
230,Shrub Height >= 3.0 meters,158,0,32,0.78039215700,0.49411764700,0.35294117600
301,Herb Height = 0.1 meter,255,204,102,1.00000000000,0.80000000000,0.40000000000
302,Herb Height = 0.2 meter,255,186,89,1.00000000000,0.78823529400,0.40000000000
303,Herb Height = 0.3 meter,255,169,77,1.00000000000,0.78823529400,0.40000000000
304,Herb Height = 0.4 meter,255,150,64,1.00000000000,0.78823529400,0.38823529400
305,Herb Height = 0.5 meter,255,133,51,1.00000000000,0.77647058800,0.38823529400
306,Herb Height = 0.6 meter,255,112,41,1.00000000000,0.77254902000,0.38039215700
307,Herb Height = 0.7 meter,255,92,28,1.00000000000,0.77254902000,0.38039215700
308,Herb Height = 0.8 meter,255,73,18,1.00000000000,0.75686274500,0.36862745100
309,Herb Height = 0.9 meter,255,51,0,1.00000000000,0.75686274500,0.36862745100
310,Herb Height >= 1 meter,255,51,0,1.00000000000,0.75294117600,0.36078431400
