site,date,day,trap,trap.type,indID,species,age,sex,breed,recap,weight,body.lgth,tail.lgth,comments,catnum
GRNHOU,2017-07-27,3,J9,S,114,PEBO,A,F,P,N,17,NA,NA,gray with yellow flanks; escaped,NA
GRNHOU,2017-07-27,3,I2,S,117,PEMA,A,F,N,Y,12,NA,NA,escaped,NA
GRNHOU,2017-07-27,3,H4,L,DAY3-1,PEMA,NA,NA,NA,N,NA,NA,NA,escaped,NA
GRNHOU,2017-07-27,3,H8,L,421,PEMA,A,M,T,N,13,64,58,NA,NA
GRNHOU,2017-07-27,3,G1,L,193,PEMA,A,M,T,Y,16,NA,NA,yellow flanks,NA
GRNHOU,2017-07-27,3,A1,S,025,PEMA,A,M,N,Y,13,70,60,very small,NA
GRNHOU,2017-07-27,3,A2,L,185,PEBO,A,F,N,N,27,91,99,hind foot = 20mm; ear = 18mm; hairy tail,NA
GRNHOU,2017-07-27,3,A3,S,177,NEQU,A,M,T,Y,84,NA,NA,NA,NA
GRNHOU,2017-07-27,3,A8,S,DAY3-2,SOTR,A,NA,NA,N,6,NA,50,NA,NA
GRNHOU,2017-07-27,3,A9,L,004,NEQU,A,F,P,Y,90,NA,NA,NA,NA
GRNHOU,2017-07-27,3,D4,S,180,GLSA,A,M,T,Y,98,NA,NA,NA,NA
GRNHOU,2017-07-27,3,C8,L,402,PEMA,S,F,N,Y,11,67,60,NA,NA
GRNHOU,2017-07-27,3,E5,L,045,PEMA,A,M,N,Y,12,72,57,NA,NA
GRNHOU,2017-07-27,3,D6,S,042,PEMA,A,F,N,Y,16,83,74,NA,NA
GRNKAN,2017-08-01,1,A4,L,123,REME,A,M,T,N,19,NA,NA,all brown,NA
GRNKAN,2017-08-01,1,A8,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNKAN,2017-08-01,1,C10,L,KING-095,SOTR,A,NA,NA,N,NA,NA,51,dead,KING-095
GRNKAN,2017-08-01,1,E9,S,KING-049,PEMA,A,F,P,N,19,77,73,dead,KING-049
GRNKAN,2017-08-01,1,F9,L,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNKAN,2017-08-01,1,I4,L,377,PEBO,A,F,N,N,19,89,94,NA,NA
GRNKAN,2017-08-01,1,J10,S,488,PEMA,A,M,T,N,16,82,63,NA,NA
GRNKAN,2017-08-01,1,H10,S,284,PEMA,A,M,T,N,15,68,70,NA,NA
GRNKAN,2017-08-01,1,J8,S,497,PEBO,A,F,N,N,19,82,95,NA,NA
GRNKAN,2017-08-01,1,J9,L,333,PEBO,A,M,T,N,24,88,101,died during processing,KING-052
