site,evc
GRNQUA,103.99999999999999
GRNQUA,104
GRNQUA,104.0000000002173
GRNQUA,103.99999999999999
GRNQUA,104
GRNQUA,103.99999999999999
GRNQUA,104.00000000474975
GRNQUA,113.99999999816842
GRNQUA,103.00000000062863
GRNQUA,103
GRNQUA,104
GRNQUA,104.9999999999224
GRNQUA,104.00000000015523
GRNQUA,104.00000000024059
GRNQUA,104.99999999983702
GRNQUA,104.00000000012417
GRNQUA,104
GRNQUA,104
GRNQUA,121.99999999692665
GRNQUA,100.00000000207996
GRNQUA,101.99999999986031
GRNQUA,102.99999999995343
GRNQUA,103.99999999999999
GRNQUA,104.99999999959643
GRNQUA,104.99999999956539
GRNQUA,104.00000000000774
GRNQUA,103.99999999959641
GRNQUA,103.99999999999999
GRNQUA,103.99999999964298
GRNQUA,121.99999999399299
GRNQUA,102.00000000139697
GRNQUA,103.00000000019404
GRNQUA,103.99999999976716
GRNQUA,103.00000000010091
GRNDAM,103
GRNDAM,103.00000000017074
GRNDAM,103.00000000037252
GRNDAM,104.99999999993791
GRNDAM,106.00000000024059
GRNDAM,106.00000000015523
GRNDAM,103.00000000062087
GRNDAM,103.00000000016297
GRNDAM,103.00000000080715
GRNDAM,104.00000000122624
GRNDAM,106.00000000051223
GRNDAM,106.99999999986031
GRNDAM,106.99999999984477
GRNDAM,107.99999999923942
GRNDAM,106.00000000032597
GRNDAM,106.99999999987583
GRNDAM,103.00000000067521
GRNDAM,105.00000000043461
GRNDAM,106.99999999990686
GRNDAM,106.00000000044237
GRNDAM,107.00000000015521
GRNDAM,107.99999999966627
GRNDAM,107.99999999986807
GRNDAM,107.00000000003106
GRNDAM,106.00000000008538
GRNDAM,105.99999999999999
GRNDAM,106.99999999965075
GRNDAM,106.99999999991464
GRNDAM,106.00000000005433
GRNDAM,103.99999999972836
GRNDAM,105.99999999996895
GRNDAM,106.99999999998448
GRNDAM,106.99999999993791
GRNDAM,107
GRNDAM,107.99999999966626
GRNDAM,107.00000000004657
GRNDAM,107.00000000015523
GRNDAM,107
GRNDAM,107
GRNDAM,106.00000000025612
GRNDAM,106.00000000034149
GRNDAM,106
GRNDAM,106
GRNDAM,106.99999999985255
GRNDAM,103.00000000000001
GRNDAM,103.0000000010943
GRNDAM,105.99999999976717
GRNDAM,106.99999999999224
GRNDAM,106.00000000009312
GRNDAM,106.99999999999226
GRNDAM,107.00000000000001
GRNDAM,106.99999999999999
GRNDAM,107.99999999983702
GRNDAM,107.00000000010088
GRNDAM,107
GRNDAM,107.00000000000001
GRNDAM,107.00000000000001
GRNDAM,106.00000000026387
GRNDAM,106.00000000013193
GRNDAM,105.99999999999999
GRNDAM,103.00000000060535
GRNDAM,106.00000000006207
GRNDAM,106
GRNDAM,106.99999999991462
GRNDAM,107.00000000029492
GRNDAM,107.9999999999379
GRNDAM,107.00000000009312
GRNDAM,107.00000000015521
GRNDAM,106.99999999999999
GRNDAM,107.00000000000001
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107.00000000000001
GRNDAM,107
GRNDAM,106.0000000002173
GRNDAM,106.99999999995345
GRNDAM,103.0000000010167
GRNDAM,105.99999999981374
GRNDAM,106.99999999987583
GRNDAM,107.00000000027939
GRNDAM,107.00000000000001
GRNDAM,107.99999999986807
GRNDAM,107.99999999977493
GRNDAM,107.00000000009314
GRNDAM,107.99999999965851
GRNDAM,107.00000000008538
GRNDAM,107.00000000000001
GRNDAM,107
GRNDAM,107
GRNDAM,107.00000000000001
GRNDAM,106.9999999997206
GRNDAM,106.9999999999612
GRNDAM,107
GRNDAM,106.9999999997206
GRNDAM,106.99999999976718
GRNDAM,107.9999999996042
GRNDAM,107.00000000010088
GRNDAM,107.99999999966627
GRNDAM,107.00000000013193
GRNDAM,107.99999999971284
GRNDAM,107.00000000010088
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107.00000000000001
