site,severity,date,trap,indID,species,binomial,binomial_short,family,age,recap,weight,comments
MIXMOR,mod,2017-08-17,D7,713,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,17,NA
MIXMOR,mod,2017-08-17,D10,659,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,16,NA
MIXMOR,mod,2017-08-17,F1,724,NESE,Neotamias senex,N. senex,Sciuridae,A,Y,67,NA
MIXMOR,mod,2017-08-17,F4,232,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,Y,11,NA
MIXMOR,mod,2017-08-17,F6,311,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,13,NA
MIXMOR,mod,2017-08-17,F8,041040,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,13,NA
MIXMOR,mod,2017-08-17,H3,221,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,23,escaped
MIXMOR,mod,2017-08-17,H4,286,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,NA,dead
MIXMOR,mod,2017-08-17,H8,324,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,Y,13,NA
MIXMOR,mod,2017-08-17,I9,707,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,24,NA
MIXMOR,mod,2017-08-17,I2,479,NESE,Neotamias senex,N. senex,Sciuridae,A,Y,65,NA
MIXMOR,mod,2017-08-17,I3,323,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,16,NA
MIXMOR,mod,2017-08-17,I5,668,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,NA,dead
MIXRAV,mod,2017-07-06,B1,380,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,12,NA
MIXRAV,mod,2017-07-06,B3,366,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,15,NA
MIXRAV,mod,2017-07-06,A3,387,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,13,NA
MIXRAV,mod,2017-07-06,J8,016358,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,18,faulty pliars - left tag not closed completely; early pregnancy
MIXRAV,mod,2017-07-06,I4,367,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,25,huge
MIXRAV,mod,2017-07-06,I1,020,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,16,NA
MIXRAV,mod,2017-07-06,H10,361,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,12,NA
MIXRAV,mod,2017-07-06,G6,140,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,19,NA
MIXRAV,mod,2017-07-06,E2,005,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,16,NA
MIXRAV,mod,2017-07-06,D2,049,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,23,NA
MIXRAV,mod,2017-07-06,D1,028,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,14,NA
MIXRAV,mod,2017-07-06,G8,285,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,15,NA
MIXRIV,mod,2017-07-20,J4,264,NEAM,Neotamias amoenus,N. amoenus,Sciuridae,S,Y,45,look at Haley's notes
MIXRIV,mod,2017-07-20,J10,416,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,13,NA
MIXRIV,mod,2017-07-20,I5,457,NEAM,Neotamias amoenus,N. amoenus,Sciuridae,S,N,46,look at Haley's notes
MIXRIV,mod,2017-07-20,G10,453,NEAM,Neotamias amoenus,N. amoenus,Sciuridae,S,N,47,look at Haley's notes
MIXRIV,mod,2017-07-20,E6,460,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,15,NA
MIXRIV,mod,2017-07-20,A10,455,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,17,NA
MIXRIV,mod,2017-07-20,D5,252,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,18,NA
MIXWAT,mod,2017-08-10,B8,474,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,26,NA
MIXWAT,mod,2017-08-10,I7,336,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,23,NA
MIXWAT,mod,2017-08-10,G6,329,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,17,NA
GRNCAR,unb,2017-09-06,J9,302,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,21,NA
GRNCAR,unb,2017-09-06,B2,KING-008,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,N,NA,NA
GRNCAR,unb,2017-09-06,F3,827,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,16,NA
GRNDAM,unb,2017-08-30,C7,974,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,16,NA
GRNDAM,unb,2017-08-30,I4,897,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,12,NA
GRNDAM,unb,2017-08-30,F2,973,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,Y,16,tiny testes
GRNHOU,unb,2017-07-26,H7,104,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,14,NA
GRNHOU,unb,2017-07-26,G8,406,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,16,NA
GRNKAN,unb,2017-08-02,E1,424,REME,Reithrodontomys megalotis,R. megalotis,Cricetidae,A,N,21,NA
GRNKAN,unb,2017-08-02,C10,410,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,11,NA
GRNKAN,unb,2017-08-02,J8,497,PEBO,Peromyscus boylii,P. boylii,Cricetidae,A,Y,19,dead
GRNMAS,unb,2017-08-16,A10,826,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,15,NA
GRNMAS,unb,2017-08-16,F8,KING-067,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,S,N,NA,NA
GRNMAS,unb,2017-08-16,I5,847,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,18,NA
GRNMAS,unb,2017-08-16,I1,705,PETR,Peromyscus truei,P. truei,Cricetidae,A,N,23,NA
GRNMAS,unb,2017-08-16,H10,845,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,14,NA
GRNQUA,unb,2017-08-09,E10,KING-014,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,N,NA,dead
GRNSNO,unb,2017-07-19,H10,CLIP-8,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,N,5,NA
GRNSNO,unb,2017-07-19,B2,CLIP-9,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,N,4,butt clipped
