site,evc
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,106
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,114.00000000000001
GRNQUA,103
GRNQUA,103
GRNQUA,103.99999999999999
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,122.00000000000001
GRNQUA,99.99999999999999
GRNQUA,102
GRNQUA,103
GRNQUA,103.99999999999999
GRNQUA,105
GRNQUA,105
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,103.99999999999999
GRNQUA,122.00000000000001
GRNQUA,102
GRNQUA,103
GRNQUA,103.99999999999999
GRNQUA,103
GRNDAM,103
GRNDAM,103
GRNDAM,103
GRNDAM,105
GRNDAM,106
GRNDAM,106
GRNDAM,103
GRNDAM,103
GRNDAM,103
GRNDAM,103.99999999999999
GRNDAM,106
GRNDAM,107
GRNDAM,107
GRNDAM,107.99999999999999
GRNDAM,106
GRNDAM,107
GRNDAM,103
GRNDAM,105
GRNDAM,107
GRNDAM,106
GRNDAM,107
GRNDAM,107.99999999999999
GRNDAM,107.99999999999999
GRNDAM,107
GRNDAM,106
GRNDAM,106
GRNDAM,107
GRNDAM,107
GRNDAM,106
GRNDAM,103.99999999999999
GRNDAM,106
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107.99999999999999
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,106
GRNDAM,106
GRNDAM,106
GRNDAM,106
GRNDAM,107
GRNDAM,103
GRNDAM,103
GRNDAM,106
GRNDAM,107
GRNDAM,106
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107.99999999999999
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,106
GRNDAM,106
GRNDAM,106
GRNDAM,103
GRNDAM,106
GRNDAM,106
GRNDAM,107
GRNDAM,107
GRNDAM,107.99999999999999
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,106
GRNDAM,107
GRNDAM,103
GRNDAM,106
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107.99999999999999
GRNDAM,107.99999999999999
GRNDAM,107
GRNDAM,107.99999999999999
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107.99999999999999
GRNDAM,107
GRNDAM,107.99999999999999
GRNDAM,107
GRNDAM,107.99999999999999
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,106
GRNDAM,106
GRNDAM,107
GRNDAM,106
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,106
GRNDAM,106
GRNDAM,107
GRNDAM,106
GRNDAM,105
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,106
GRNDAM,107
GRNDAM,106
GRNDAM,106
GRNDAM,106
GRNDAM,105
GRNDAM,105
GRNDAM,103.99999999999999
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,106
GRNDAM,106
GRNDAM,106
GRNDAM,106
GRNDAM,106
GRNDAM,106
GRNDAM,103.99999999999999
GRNDAM,103.99999999999999
GRNDAM,105
GRNDAM,105
GRNDAM,107
GRNDAM,107.99999999999999
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,106
GRNDAM,105
GRNDAM,105
GRNDAM,105
GRNDAM,103
GRNDAM,103.99999999999999
GRNDAM,105
GRNDAM,105
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,106
GRNDAM,106
GRNDAM,105
GRNDAM,105
GRNDAM,103.99999999999999
GRNDAM,105
GRNDAM,103.99999999999999
GRNDAM,103.99999999999999
GRNDAM,103.99999999999999
GRNDAM,105
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,107
GRNDAM,106
GRNDAM,105
GRNDAM,103.99999999999999
GRNDAM,105
GRNDAM,105
GRNDAM,103.99999999999999
GRNDAM,103
GRNDAM,103.99999999999999
GRNDAM,105
GRNDAM,105
GRNDAM,107
GRNDAM,106
GRNDAM,106
GRNDAM,107
GRNDAM,106
GRNDAM,105
GRNDAM,103.99999999999999
GRNDAM,103.99999999999999
GRNDAM,103.99999999999999
GRNDAM,103
GRNDAM,102
GRNDAM,103.99999999999999
GRNDAM,103.99999999999999
GRNDAM,105
GRNDAM,106
GRNDAM,106
GRNDAM,106
GRNDAM,106
GRNDAM,106
GRNDAM,105
GRNDAM,103.99999999999999
GRNDAM,105
GRNDAM,103.99999999999999
GRNDAM,103.99999999999999
GRNDAM,103
GRNDAM,103
GRNDAM,103.99999999999999
GRNDAM,106
GRNDAM,106
GRNDAM,106
GRNDAM,105
GRNDAM,106
GRNDAM,105
GRNDAM,106
GRNDAM,106
GRNDAM,105
GRNDAM,103.99999999999999
GRNDAM,103.99999999999999
GRNDAM,103.99999999999999
GRNDAM,105
GRNDAM,103.99999999999999
GRNDAM,105
GRNDAM,106
GRNDAM,106
GRNDAM,105
GRNDAM,106
GRNDAM,105
GRNDAM,106
GRNDAM,105
GRNDAM,106
GRNDAM,105
GRNDAM,105
GRNDAM,103
GRNDAM,103.99999999999999
GRNDAM,105
GRNDAM,106
GRNDAM,106
GRNDAM,106
GRNDAM,106
MIXBUT,106
MIXBUT,106
MIXBUT,105
MIXBUT,105
MIXBUT,103
MIXBUT,114.99999999999999
MIXBUT,114.99999999999999
MIXBUT,105
MIXBUT,105
MIXBUT,106
