site,severity,date,day,trap,indID,species,binomial,binomial_short,common_name,family,age,recap,weight,comments
GRNHOU,unb,2017-07-27,3,C8,402,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,S,Y,11,NA
GRNHOU,unb,2017-07-27,3,E5,045,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,12,NA
GRNHOU,unb,2017-07-27,3,D6,042,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,16,NA
GRNKAN,unb,2017-08-01,1,A4,123,REME,Reithrodontomys megalotis,R. megalotis,Western harvest mouse,Cricetidae,A,N,19,all brown
GRNKAN,unb,2017-08-01,1,A8,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNKAN,unb,2017-08-01,1,C10,KING-095,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,A,N,NA,dead
GRNKAN,unb,2017-08-01,1,E9,KING-049,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,19,dead
GRNKAN,unb,2017-08-01,1,F9,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNKAN,unb,2017-08-01,1,I4,377,PEBO,Peromyscus boylii,P. boylii,Brush mouse,Cricetidae,A,N,19,NA
GRNKAN,unb,2017-08-01,1,J10,488,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,16,NA
GRNKAN,unb,2017-08-01,1,H10,284,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,15,NA
GRNKAN,unb,2017-08-01,1,J8,497,PEBO,Peromyscus boylii,P. boylii,Brush mouse,Cricetidae,A,N,19,NA
GRNKAN,unb,2017-08-01,1,J9,333,PEBO,Peromyscus boylii,P. boylii,Brush mouse,Cricetidae,A,N,24,died during processing
GRNKAN,unb,2017-08-02,2,I3,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNKAN,unb,2017-08-02,2,H10,488,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,18,NA
GRNKAN,unb,2017-08-02,2,E1,424,REME,Reithrodontomys megalotis,R. megalotis,Western harvest mouse,Cricetidae,A,N,21,NA
GRNKAN,unb,2017-08-02,2,E2,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNKAN,unb,2017-08-02,2,E6,NA,MISS,NA,NA,NA,NA,NA,NA,NA,NA
GRNKAN,unb,2017-08-02,2,C10,410,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,11,NA
GRNKAN,unb,2017-08-02,2,J1,377,PEBO,Peromyscus boylii,P. boylii,Brush mouse,Cricetidae,A,Y,19,NA
GRNKAN,unb,2017-08-02,2,J8,497,PEBO,Peromyscus boylii,P. boylii,Brush mouse,Cricetidae,A,Y,19,dead
GRNKAN,unb,2017-08-02,2,F5,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNKAN,unb,2017-08-03,3,C2,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNKAN,unb,2017-08-03,3,C10,496,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,16,NA
GRNKAN,unb,2017-08-03,3,E1,492,PEBO,Peromyscus boylii,P. boylii,Brush mouse,Cricetidae,A,N,18,NA
GRNKAN,unb,2017-08-03,3,F1,292,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,18,NA
GRNKAN,unb,2017-08-03,3,F9,393,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,16,NA
GRNKAN,unb,2017-08-03,3,I4,377,PEBO,Peromyscus boylii,P. boylii,Brush mouse,Cricetidae,A,Y,18,NA
GRNKAN,unb,2017-08-03,3,H7,405,PEBO,Peromyscus boylii,P. boylii,Brush mouse,Cricetidae,A,N,16,NA
GRNKAN,unb,2017-08-03,3,H10,488,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,Y,14,PEBO or REME
GRNMAS,unb,2017-08-15,1,A6,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,rolled over
GRNMAS,unb,2017-08-15,1,B10,673,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,17,NA
GRNMAS,unb,2017-08-15,1,B2,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,tipped on side
GRNMAS,unb,2017-08-15,1,D9,280,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,15,NA
GRNMAS,unb,2017-08-15,1,D8,657,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,13,NA
GRNMAS,unb,2017-08-15,1,D6,KING-101,SOTR,Sorex trowbridgii,S. trowbridgii,Trowbridge's shrew,Soricidae,A,N,NA,dead
GRNMAS,unb,2017-08-15,1,D5,NA,MISS,NA,NA,NA,NA,NA,NA,NA,missing bait; no other signs of intrusion
GRNMAS,unb,2017-08-15,1,E1,662,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,14,NA
GRNMAS,unb,2017-08-15,1,F8,652,GLSA,Glaucomys sabrinus,G. sabrinus,Northern flying squirrel,Sciuridae,A,N,131,NA
GRNMAS,unb,2017-08-15,1,F5,664,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,16,NA
GRNMAS,unb,2017-08-15,1,J2,803,PEBO,Peromyscus boylii,P. boylii,Brush mouse,Cricetidae,S,N,18,very grey
GRNMAS,unb,2017-08-15,1,J3,753,PEMA,Peromyscus maniculatus,P. maniculatus,Deer mouse,Cricetidae,A,N,16,NA
GRNMAS,unb,2017-08-15,1,J4,810,OTBE,Otospermophilus beecheyi,O. beecheyi,California ground squirrel,Cricetidae,A,N,363,NA
GRNMAS,unb,2017-08-15,1,J10,NA,SPRU,NA,NA,NA,NA,NA,NA,NA,NA
GRNMAS,unb,2017-08-15,1,I5,NA,MISS,NA,NA,NA,NA,NA,NA,NA,NA
